Department,Month,Revenue,Expenses,Profit/Loss,Budget Allocation,Forecasted Growth %,Risk Flag
,Feb-24,7347217,7404687,-57470,5680753.316088401,11.18,Low
Administration,Mar-24,9031378,2836515,,9287017.759181598,4.58,Low
Energy Production,Dec-24,6523440,9857852,-3334412,6700352.895653803,-0.72,Medium
Tech Innovation,Jan-24,8317312,4110224,4207088,6564615.558106139,2.78,Low
R&D,Jul-24,10619419,9835199,784220,,10.26,Medium
Cybersecurity,Dec-24,10324032,6262634,4061398,7627613.970722515,-1.12,High
R&D,Mar-24,7267040,8707011,-1439971,7258022.979734098,14.38,High
R&D,May-24,6271761,3379596,2892165,6753398.511119368,10.28,High
Space Exploration,May-24,7747304,4841574,2905730,8342461.935420634,12.77,Low
Defense Systems,May-24,11879556,4298771,7580785,11680422.91566226,6.76,Medium
nil,Oct-24,11997616,10887276,1110340,11796910.70159737,-0.62,Medium
Space Exploration,Feb-24,10538453,9279912,1258541,9041189.924024453,8.82,High
R&D,Jan-24,9361522,3793409,5568113,8523070.088513903,13.86,-
Defense Systems,Dec-24,3961779,1682154,2279625,4581443.796710723,-2.81,Low
R&D,Sep-24,11516993,6557847,4959146,8996093.362662174,8.48,Low
Administration,Oct-24,5440509,6622868,-1182359,6245592.490613435,2.78,
Energy Production,Jul-24,4603598,3371907,1231691,4856593.941889691,14.82,High
,May-24,6716346,2308025,4408321,7866637.177068349,3.44,Medium
Tech Innovation,Jun-24,10686769,7336129,3350640,11757190.43441557,-0.13,Low
Administration,Jan-24,3484439,9957490,-6473051,3871247.170954964,-1.07,High
R&D,Jul-24,3720385,5775501,-2055116,3093399.525301215,10.18,Low
Energy Production,Jul-24,9620358,3601922,6018436,-,-2.71,Low
Administration,Dec-24,7764605,2143383,5621222,7371575.316382408,11.52,High
Administration,Feb-24,2500864,4349180,-1848316,2643780.8875892,-,High
Energy Production,Apr-24,6671504,6190931,480573,7551876.60069685,-2.85,High
Administration,Sep-24,8032608,6678278,,5936661.739767116,-4.35,Medium
,Jul-24,8845172,6369997,2475175,7049243.337130738,6.06,Low
R&D,Aug-24,6421624,4434445,1987179,4633738.762095252,-3.82,Low
Cybersecurity,Feb-24,3524618,2099240,1425378,3914717.182098237,7.84,Medium
Tech Innovation,May-24,6357303,3036215,3321088,7092665.128296746,-4.87,High
Energy Production,Aug-24,3317113,6832127,-3515014,3926062.29773343,9.68,nil
R&D,May-24,9281737,7960441,1321296,9045782.857853724,5.87,nil
Space Exploration,Jan-24,4069533,-,2144252,4579458.827232304,12.21,Low
Administration,Apr-24,7122962,,-2049007,8136442.535530812,-4.8,Low
Medical Research,May-24,8846346,3889276,4957070,8195507.129405622,11.94,Medium
Space Exploration,Jul-24,3437146,10604972,,2510146.833492802,11.17,High
R&D,Dec-24,10689102,9232188,1456914,10444431.37802028,12.26,Low
Cybersecurity,Sep-24,5205578,7006730,-1801152,4378962.085161836,nil,Medium
Space Exploration,Jan-24,2119186,2342640,-223454,2453383.721565122,4.69,Low
Administration,Jul-24,2016907,7364804,-5347897,,1.4,Low
Cybersecurity,Dec-24,4965448,7323932,-2358484,4415400.063433873,2.39,High
Energy Production,Nov-24,9089807,-,71161,7908397.948003106,2.43,High
Cybersecurity,Jan-24,8771441,9211352,-439911,8410531.484212903,10.68,Low
Defense Systems,-,10407056,2146792,8260264,9227313.62543027,13.33,High
Medical Research,Dec-24,7820632,3952147,3868485,7932478.349162828,nil,High
Medical Research,May-24,7373672,3055651,4318021,8559458.042237904,-1.08,Medium
-,Jun-24,10648974,7084556,3564418,9453241.256099468,13.63,High
Energy Production,nil,6361466,1612097,4749369,5019880.559221226,-,Medium
Space Exploration,Mar-24,2891597,3424074,-532477,2619450.567554231,12.62,High
Defense Systems,,-,3500701,4310499,8250381.949109379,11.79,Low
Energy Production,Dec-24,8593010,6189135,2403875,6302728.390417844,-2.5,Medium
Administration,Mar-24,2777011,4578594,-1801583,3240447.11935867,5.62,Medium
,Feb-24,,7561594,-2474023,3667138.116102966,13.29,High
Cybersecurity,Aug-24,2441862,,-7277963,1843358.108176682,2.37,Low
-,May-24,4455176,1564121,2891055,4629359.744198457,6.66,High
Medical Research,Apr-24,11659775,nil,796026,13946237.29171535,0.38,Medium
Space Exploration,Sep-24,,4595575,5537276,7868645.708560666,-,Medium
Tech Innovation,,7368052,-,1837422,5469978.895537145,2.91,Low
Tech Innovation,,10473257,8223854,2249403,10860911.54511537,-4.95,High
Cybersecurity,May-24,9890069,3018515,6871554,9959211.897292094,7.41,Low
Space Exploration,Dec-24,2850937,2430091,420846,2469077.742382185,2.05,Medium
Energy Production,Jun-24,2698645,4830493,-2131848,2000026.361524869,0.53,Low
Tech Innovation,Oct-24,5296550,4017277,1279273,5745007.381702869,-3.93,Low
Tech Innovation,Jan-24,-,6210388,4116052,11116307.79658347,-4.75,Medium
,Aug-24,3693969,1648044,2045925,4376370.87294701,-4.2,High
Medical Research,Mar-24,6630415,8286532,-1656117,7337018.222417007,-0.46,Medium
Energy Production,Dec-24,2141330,9377549,-7236219,1776829.377273462,1.76,Medium
Energy Production,Aug-24,9445769,5197130,4248639,8463037.889449215,,High
Administration,May-24,,,5877482,8657301.21843779,8.67,Low
Defense Systems,-,7341016,8995313,-1654297,7437391.138457472,4.03,Low
Cybersecurity,Sep-24,9480463,3882742,5597721,10060093.58121621,9.49,Low
Cybersecurity,Feb-24,8163895,6842467,1321428,6657549.625000014,4.67,Medium
Cybersecurity,Aug-24,-,8299106,-3764913,3897989.016281883,,High
Cybersecurity,Jul-24,10212500,10739941,-527441,11668497.33262838,-4.14,Medium
R&D,Aug-24,7711045,8781965,-1070920,7141655.553362862,13.72,High
R&D,Aug-24,5750315,,2906077,6694372.707409776,12.07,High
R&D,Jun-24,5210701,2425853,2784848,5632824.554518718,-4.7,-
Defense Systems,,2912405,,-5046518,3308777.413089026,14.69,High
Space Exploration,Sep-24,8501316,3262617,5238699,7336302.630802863,0.76,Medium
Defense Systems,Sep-24,11186057,1856533,9329524,11707500.86819588,-0.73,High
Space Exploration,Apr-24,8027370,6605205,1422165,8886576.341760533,14,Medium
,Jan-24,-,3338839,-1144261,2508523.789241194,nil,Medium
Defense Systems,Sep-24,,9380249,-417784,7142943.676799377,12.41,High
Medical Research,Nov-24,7520097,3575910,3944187,,-3.58,High
Administration,Apr-24,8417983,nil,-1356966,6113994.948165226,13.38,Low
Space Exploration,Jun-24,3392847,10210008,-6817161,3491503.676825489,-2.01,High
Cybersecurity,Dec-24,3820923,7576081,-3755158,2855445.185399434,-,High
,Feb-24,11800401,7447494,4352907,13824903.48927193,1.51,Medium
Energy Production,,3269171,8912153,nil,3470496.932580817,-2.72,Medium
-,May-24,6245357,8777590,-2532233,6436558.667886126,2.08,nil
Medical Research,Sep-24,,10911977,-7864492,3459378.107538949,-1.05,Low
Cybersecurity,Nov-24,4434993,nil,-3553294,4509313.933876581,0.92,High
Defense Systems,Nov-24,6528999,8432633,-1903634,5529145.034000582,5.57,Low
Defense Systems,Aug-24,9339637,4428706,-,7407084.003503389,4.83,
,May-24,10282511,6322611,3959900,9152564.016591584,7.59,Low
Administration,Jun-24,,5942489,-2026183,3315415.838818695,-,High
Administration,,8065262,5997243,2068019,8634167.64400987,-1.23,High
Space Exploration,Nov-24,7858991,10088788,,8535186.928115139,6.22,High
Cybersecurity,Feb-24,3883919,5030771,-1146852,3552859.137693635,12.3,Low
Cybersecurity,May-24,8730056,6719759,2010297,7975267.016774247,6.06,High
Space Exploration,Apr-24,8352234,2644035,5708199,9660474.409767063,-4.07,Medium
Energy Production,Jan-24,6006705,6983595,-976890,6361496.02766227,6.27,High
Defense Systems,-,5345196,8838254,-3493058,4037189.533016676,14.12,Medium
,Jul-24,-,3537801,6072062,7764112.865592724,0.15,Low
nil,Dec-24,11521393,,3970767,12451016.1290782,9.41,Low
,Jan-24,8472034,9846409,-1374375,9983367.911038496,5.47,High
Medical Research,Mar-24,8527515,8582438,,,12.89,
Space Exploration,Mar-24,4105426,8391387,-4285961,3324575.677235121,14.3,Low
Space Exploration,Jul-24,5443333,9059927,-3616594,4772124.145060459,14.45,Medium
Administration,Jan-24,7947295,5669347,2277948,7529184.949583421,9.58,High
R&D,Dec-24,,6823165,,5659870.197068572,3.9,High
-,Sep-24,8058059,2835933,5222126,6958193.058193682,6.66,Low
Tech Innovation,Jul-24,,2557227,7430661,11032247.47052586,1.56,High
R&D,Jan-24,5901259,9997512,-4096253,7076102.265668352,8.45,High
Space Exploration,Apr-24,3459895,3689627,-229732,2444066.946676192,0.5,Low
Cybersecurity,Mar-24,3388330,6981185,-3592855,-,-2.82,
Administration,Dec-24,3887599,9242680,,,4.87,Low
Energy Production,Jun-24,3847266,7032415,-3185149,3484107.367323761,10.22,Medium
R&D,Jun-24,6705390,-,-4093930,5670476.272018827,1.93,Low
Cybersecurity,Oct-24,,7528965,3792699,13037548.46337625,13.86,Medium
Space Exploration,Sep-24,4043256,8503698,-4460442,3622405.523980757,3.09,Medium
nil,Oct-24,3888132,8895192,-5007060,3012692.134941562,-0.58,Low
Defense Systems,Mar-24,-,2282489,3395798,4412392.328949845,nil,High
Defense Systems,Oct-24,7827601,8655816,-828215,9003629.033634786,-1.89,High
Administration,Sep-24,2272279,4992821,-2720542,1626187.036380817,7.85,High
R&D,Jul-24,11957965,10447217,1510748,11765843.81316256,3.83,Low
Medical Research,Nov-24,8198408,9055435,-857027,7008147.883178238,5.13,-
Medical Research,Aug-24,9092903,nil,7258631,7892079.777072359,14.63,High
Cybersecurity,Mar-24,11752782,4620679,7132103,10297499.94085559,2.51,Medium
Cybersecurity,Sep-24,7647349,9062412,-1415063,6466204.114358515,-0.66,Low
Medical Research,Jul-24,4656633,9126183,-4469550,4991049.481581209,-0.7,Medium
,Mar-24,11629703,5075801,6553902,11200253.54736208,14.46,High
R&D,Mar-24,5158230,-,1085352,4387393.305609799,5.14,Medium
Space Exploration,Oct-24,2071993,6743240,-4671247,1957897.089052927,-2.67,High
Energy Production,Nov-24,3210529,9779166,-6568637,,9.25,Low
Defense Systems,May-24,8017863,2176540,5841323,7865159.381330623,4.51,High
,Sep-24,9052312,6381241,2671071,10084979.64025239,11.34,High
nil,Sep-24,2058413,4580652,-2522239,nil,14.75,Medium
Tech Innovation,Jan-24,8703541,10384304,-1680763,7424865.936922484,nil,Low
Medical Research,Sep-24,9518278,5048908,4469370,7706442.258206578,10.77,Medium
R&D,May-24,8183035,6481439,1701596,6009203.38508198,13.51,Low
Defense Systems,Apr-24,11243016,8506377,2736639,8155704.425746346,13.02,Low
Space Exploration,Oct-24,nil,3823228,2411499,-,8.29,Low
Energy Production,Nov-24,8894781,5934872,2959909,,12.52,Low
Medical Research,,9956399,6166058,3790341,6992107.982056515,12.39,Medium
Administration,Jan-24,3848448,6939659,-3091211,3350313.14747376,3.34,High
Medical Research,Feb-24,2368474,5262315,-2893841,2358362.122400613,14.2,High
Medical Research,Mar-24,5913899,9628885,-3714986,4600355.209755261,14.36,
Energy Production,Apr-24,3816437,1635466,2180971,3023471.744182745,4.01,High
Administration,May-24,6528941,9619461,-3090520,7566593.505613498,1.36,Low
Administration,Oct-24,8061879,,1172036,,3.47,High
Tech Innovation,Oct-24,4977953,3470556,1507397,4274478.951839392,,Medium
Energy Production,Nov-24,5807304,10781001,-4973697,6928902.856525401,0.86,Medium
,Dec-24,4681868,-,2358428,5475937.422104547,-3.89,High
Medical Research,Aug-24,6979023,6118358,860665,5719606.425524763,-3.29,Medium
Space Exploration,,,2504339,1106121,3154807.936242985,0.27,Low
Space Exploration,Nov-24,5388033,10988325,-5600292,5982304.917072187,7.43,High
Defense Systems,Sep-24,3030858,2527516,503342,2922512.812211464,6.22,Medium
R&D,Sep-24,8458142,6369620,2088522,7941485.521044997,-0.19,Medium
Energy Production,Sep-24,8618634,9535923,-917289,6680946.305404964,-1.62,Medium
Space Exploration,Jul-24,5185230,7695729,-2510499,5371407.732686319,1.89,High
Defense Systems,Nov-24,,3397808,5948565,9427524.342087213,4.62,Medium
Cybersecurity,Sep-24,,6271003,-825771,4077125.135126456,-4.48,High
Defense Systems,-,6410502,7330888,-920386,5318451.531406282,-3.41,High
,Sep-24,7600787,6961942,638845,7772523.917787394,,Medium
R&D,Dec-24,8302730,7953715,349015,9494071.6049645,10.69,Medium
Administration,Apr-24,11063825,10495175,568650,12416132.15123275,-2.76,
Administration,Dec-24,9812604,2774581,7038023,8584126.23718405,0.53,Medium
Cybersecurity,,4691847,5791932,-1100085,3884576.203888659,4.06,High
Energy Production,Dec-24,4066688,nil,-567375,3244524.820034133,4.72,High
Energy Production,Oct-24,7067814,3517918,3549896,5699718.745964975,5.88,Low
Cybersecurity,,4042563,4539291,nil,4612031.809763608,8.02,Medium
Medical Research,Aug-24,11154627,8910217,2244410,10613210.79530051,-3.04,Medium
Defense Systems,Feb-24,2483856,3029554,-545698,,6.38,Medium
Energy Production,Dec-24,4557283,2176130,2381153,3810018.5666199,-,Medium
Defense Systems,Mar-24,2472342,5680643,-3208301,2953450.556404801,-3.84,Medium
Space Exploration,Jul-24,9260031,7345677,,7011803.736289175,3.53,Medium
Administration,Jan-24,3988850,9079991,-5091141,3425016.584343987,14.01,High
R&D,Apr-24,6874254,,-1621072,5338993.982444252,,High
Cybersecurity,Dec-24,9756734,8560618,1196116,7805160.507015694,7.41,Low
R&D,Nov-24,6520498,9067768,-2547270,,10.21,High
Cybersecurity,Nov-24,7714759,8931181,-1216422,8088724.571131865,,Low
Space Exploration,Dec-24,3029308,9018720,-5989412,2887779.816336971,,Low
,Feb-24,9135270,10434220,-1298950,10302539.41681053,5.86,Low
Administration,Sep-24,,3882323,,3672341.250268049,10.1,High
Defense Systems,Nov-24,4176999,8285543,-4108544,3692749.08275641,9.42,High
Administration,Sep-24,10679491,,,11931552.24322319,-2.23,Low
,Feb-24,,7108881,1826427,7533103.237576138,-,Low
R&D,Feb-24,3055945,2120930,935015,2316424.256464823,-,Low
Space Exploration,May-24,4936545,5294159,,5207438.506100747,1.02,Medium
Tech Innovation,Feb-24,-,9074165,2180843,12998119.69327462,13.99,Medium
Defense Systems,Oct-24,8773381,4612806,-,6648609.577940136,12.69,Low
Defense Systems,Oct-24,nil,6314802,1114199,7065454.562009469,13.94,
Defense Systems,Aug-24,8936452,6592838,2343614,7199555.649419342,7.6,Medium
Defense Systems,Jul-24,6564978,7943516,-1378538,5518825.982463347,11.45,Low
Space Exploration,Apr-24,3206558,9937081,-6730523,2920119.574847844,,Medium
R&D,Jul-24,-,8664337,-5304304,3710872.579682595,-1.97,Medium
Medical Research,Dec-24,2373773,6169247,-3795474,2339145.658833128,5.11,Medium
Tech Innovation,Sep-24,3654341,7597418,-3943077,2593044.765745025,11.48,Medium
Cybersecurity,Feb-24,4953047,2744447,2208600,3702577.489793262,-0.16,High
Administration,Oct-24,11230376,10306823,923553,9210788.21733929,-0.47,
Energy Production,Sep-24,3042913,4429610,-1386697,,7.39,Low
Energy Production,Jan-24,4580755,1725047,-,3961665.283110628,-1.59,High
,Sep-24,2915515,5433591,-2518076,3268923.545223692,10.04,High
Defense Systems,Jul-24,9381084,,7359972,8918425.602693098,,
Tech Innovation,Jun-24,,2480366,5336715,6999699.929468052,8.79,High
Energy Production,Jul-24,2597056,7109013,-4511957,2014763.465570236,-0.55,
Tech Innovation,Oct-24,10514721,2348493,8166228,,3.62,High
Space Exploration,Nov-24,,8067812,72516,7186576.164937221,-2.53,Medium
Tech Innovation,May-24,5657591,4056020,1601571,4142413.26095795,9.74,High
Tech Innovation,,4061133,10442143,-6381010,4125449.86221401,6.89,High
Space Exploration,Dec-24,2759972,3050883,-290911,3302944.528927513,9.67,Low
Energy Production,Mar-24,,3648366,4781238,9166113.078797543,7.52,Low
R&D,Aug-24,5062307,,1894796,4785794.608025405,9.02,Low
Tech Innovation,Nov-24,8120107,6198733,1921374,,4.74,Low
Administration,Feb-24,7743497,5820760,1922737,8319627.01327508,3.43,Medium
Cybersecurity,Jul-24,3503050,8208145,-4705095,3384526.959251701,nil,Low
Defense Systems,Jul-24,4079018,2955697,1123321,3608765.953391838,,Medium
Space Exploration,May-24,7995227,7288768,706459,7221220.275032603,-0.85,Low
R&D,Aug-24,11978627,6653178,5325449,11713304.3021206,-0.35,High
Defense Systems,Aug-24,9468524,,2971942,8639873.106431277,14.63,High
-,Nov-24,9048475,4262914,4785561,,11.92,
R&D,Jul-24,6363848,1607695,4756153,6080313.670974193,7.95,Medium
R&D,Sep-24,11680349,8053442,3626907,11744880.43808014,,Medium
Energy Production,Sep-24,4382471,4768732,-386261,3930819.936948042,7.78,Low
Energy Production,May-24,9739862,9389204,350658,9018869.225386385,-3.32,Low
,May-24,6497426,1559688,4937738,4692954.788724557,7.36,Low
Defense Systems,Aug-24,5682203,,3932759,6402475.667010201,8.56,Medium
Administration,Dec-24,6715623,5965303,750320,5263627.425528778,-0.36,Low
R&D,Oct-24,7928020,,132913,,8.5,Low
Tech Innovation,,8253976,8624792,,6315551.518527156,-,Medium
Space Exploration,Jan-24,6637859,4057109,2580750,6986353.123750239,-0.04,Medium
Medical Research,,3364364,3422360,-57996,2598751.465644114,5.74,High
,Nov-24,4538757,,-2802468,5045014.448661244,5.03,Low
R&D,-,5674387,7065145,-1390758,5695031.856201276,10.64,High
Tech Innovation,Aug-24,3935545,7040090,-3104545,2989639.9889612,3.77,High
Energy Production,Mar-24,11039212,1677140,9362072,10323181.23239747,10.43,Medium
R&D,Oct-24,,5254797,-3164883,1887021.441496572,-3.08,High
R&D,Jul-24,11446726,5836347,,13342648.87685245,9.62,Low
Tech Innovation,Apr-24,5155650,6393436,-1237786,5019006.796954489,,High
R&D,Oct-24,11809605,4245202,7564403,12334646.8338983,11.53,Medium
Defense Systems,May-24,9208065,9383999,-175934,7295796.434289086,3.04,Low
Administration,Aug-24,8094839,5336873,2757966,9561220.718800237,-4.58,Low
Energy Production,Jun-24,6586673,3268872,,5799215.549643502,4.74,Medium
Administration,Sep-24,2361507,nil,-427119,2787478.404869609,1.54,High
Energy Production,Jul-24,2668470,5538341,-2869871,2582871.355612152,-1.66,Low
Defense Systems,Jul-24,4087347,7423795,-3336448,4554597.676327988,6.71,Low
Cybersecurity,Apr-24,7517836,5288953,,5547707.541730026,2.25,Low
Cybersecurity,Jan-24,-,2496383,130879,2072520.861474301,4.73,Medium
R&D,Feb-24,10994284,9038758,1955526,7746304.880221879,14.48,High
R&D,Nov-24,4297144,3860451,436693,3263950.437359786,12.8,High
Administration,Apr-24,11043690,10329893,713797,8724617.332549378,3.6,
Medical Research,Oct-24,2614325,7024620,-4410295,2237865.621951911,13.41,High
R&D,Dec-24,8968979,5339625,3629354,8411506.704930626,-1.17,Low
Energy Production,Dec-24,11634989,5947159,5687830,10199498.07118649,1.1,
Defense Systems,Jan-24,11858460,6021852,5836608,11127827.40764988,10.02,High
Medical Research,Feb-24,8342194,5026348,3315846,8777716.714024885,14.94,High
Cybersecurity,May-24,11582300,3192211,8390089,12484913.37015609,8.89,Medium
Medical Research,Sep-24,-,10746057,-8508725,2026157.31472654,7.69,Low
R&D,Jan-24,10741268,9437545,1303723,,,Low
Medical Research,Jul-24,7617697,1863985,5753712,8536999.94544792,6.27,
Cybersecurity,May-24,9725469,10345332,-619863,7404371.117060956,3.86,High
Administration,Aug-24,9855674,7946499,1909175,10352359.97755291,14.53,Medium
Cybersecurity,May-24,4602372,-,-3174151,4506892.238349311,8.43,
Energy Production,Aug-24,8334584,9842396,-1507812,7848949.685908922,6.25,Low
Medical Research,May-24,2313353,4683174,-2369821,2439797.99562515,10.19,Medium
Energy Production,May-24,4985143,3942149,1042994,,5.03,High
R&D,Aug-24,6795095,4810435,1984660,6421044.528976507,9.7,High
Medical Research,Dec-24,8869660,5212465,nil,,5.74,Low
Defense Systems,Nov-24,3776553,3995528,-218975,3457255.265959689,10.98,Medium
Space Exploration,Jun-24,,2638931,-389042,2218492.763671463,9.24,Medium
Cybersecurity,Sep-24,11144927,nil,6152580,13324676.67240932,9.09,Low
Cybersecurity,Sep-24,10946798,10703936,242862,11007861.3507797,3.57,Low
Space Exploration,,7016300,8401495,-1385195,6633870.748789583,0.65,High
Energy Production,Oct-24,10173013,7954108,2218905,9247127.311337397,9.92,Low
-,Mar-24,11560717,3704891,7855826,11636306.40530277,-1.47,Low
Tech Innovation,Nov-24,3798440,1760454,2037986,2979885.612405946,1.57,Low
Defense Systems,Apr-24,2400370,7503999,-5103629,2046314.081813834,5.23,
R&D,Jul-24,11638517,3855513,7783004,9564925.446854107,1.18,Low
R&D,-,9301465,2382848,6918617,8491661.155788928,-2.11,Medium
Cybersecurity,Apr-24,9592692,2232870,,8259001.899499522,0.99,
Medical Research,Jul-24,10094847,7389180,2705667,7635666.371632214,-2.44,Low
R&D,Nov-24,6479772,8218480,-1738708,7599234.21899929,0.94,High
R&D,Jul-24,9961061,6862106,3098955,7204390.716198635,-1.37,Low
-,Dec-24,5186352,2288421,2897931,4040899.636287855,4.74,Medium
Medical Research,Sep-24,8588218,3308108,5280110,6684220.252224268,,Medium
Cybersecurity,Jan-24,7296257,7791117,-494860,6919911.087948999,6.35,Low
Defense Systems,Dec-24,9717049,5899391,3817658,10194117.97758646,2.99,Medium
Administration,Aug-24,11432528,9501833,1930695,11852406.80860212,2.01,High
Energy Production,May-24,3591260,3437708,153552,3347489.174314143,12.01,Low
Tech Innovation,Mar-24,4288429,5636660,-1348231,4676343.250529185,-1.9,Medium
Medical Research,Mar-24,3220279,2460478,759801,2982416.500540272,6.52,Medium
Energy Production,Aug-24,nil,4269054,-1110042,2980569.120739843,-1.9,Medium
-,Aug-24,2716235,5389107,-2672872,2190385.294620964,14.72,Low
Energy Production,Sep-24,11837143,6019058,5818085,11505161.56336569,6.52,Low
Tech Innovation,Apr-24,10471104,7979199,2491905,9668412.055474218,9.94,High
Defense Systems,Mar-24,3319525,9946114,-6626589,3137294.096580601,13.6,Low
Medical Research,May-24,2190297,9059601,-6869304,2099298.299223296,-,Low
,nil,8068524,-,-482642,7293248.019961777,5.38,High
Space Exploration,Aug-24,-,7342364,-1683502,6217986.913485252,7.33,Low
,Oct-24,8921057,9009677,-88620,9577556.152544146,11.92,-
Medical Research,Sep-24,4877843,1910569,2967274,4553392.469773928,3.49,Low
Energy Production,Nov-24,7017592,2799677,4217915,6256180.919875874,7.71,
Medical Research,,7143031,2288987,4854044,5497962.546465049,5.69,Low
